,nx,ny,rsx,rsy,lsx,lsy,rhx,rhy,lhx,lhy,rkx,rky,lkx,lky,label,original_index
8691,0.0,0.0,0.0,5.217391300000003,0.0,5.2173913099999965,6.95652179999999,5.2173912999999885,0.0,5.2173912999999885,13.913043399999992,-15.652173899999966,0.0,0.0,0.0,21970.0
8692,0.0,0.0,0.0,5.217391300000003,0.0,0.0,6.95652179999999,5.2173912999999885,0.0,5.2173912999999885,13.913043399999992,-15.652173899999966,0.0,-5.217391300000031,0.0,21972.0
8693,0.0,0.0,0.0,5.217391300000003,0.0,0.0,-6.95652179999999,0.0,0.0,5.2173912999999885,0.0,-10.434782599999977,0.0,0.0,0.0,21974.0
8694,0.0,0.0,0.0,5.217391300000003,0.0,-5.2173913099999965,-6.95652179999999,0.0,0.0,5.2173912999999885,-6.956521699999968,-5.2173912999999885,0.0,0.0,0.0,21976.0
8695,0.0,0.0,0.0,5.217391300000003,0.0,0.0,0.0,5.2173912999999885,0.0,5.2173912999999885,-6.956521699999968,-5.2173912999999885,0.0,-5.2173912999999885,0.0,21978.0
8696,0.0,0.0,0.0,5.217391300000003,0.0,0.0,-6.95652179999999,0.0,0.0,5.2173912999999885,-6.956521699999968,-10.434782599999977,0.0,0.0,0.0,21980.0
8697,0.0,0.0,0.0,0.0,0.0,0.0,-6.95652179999999,0.0,6.956521700000025,5.2173912999999885,-6.956521699999968,-10.434782599999977,-6.956521699999968,-5.2173912999999885,0.0,21982.0
8698,0.0,0.0,0.0,0.0,0.0,0.0,-6.95652179999999,0.0,0.0,0.0,0.0,-10.43478260000002,6.956521699999968,-10.434782599999977,0.0,21984.0
8699,0.0,0.0,0.0,5.217391300000003,0.0,5.2173913099999965,-6.95652179999999,0.0,0.0,5.2173912999999885,0.0,-10.43478260000002,6.956521699999968,-10.43478260000002,0.0,21986.0
8700,0.0,0.0,0.0,5.217391300000003,0.0,5.2173913099999965,-6.95652179999999,-5.2173912999999885,0.0,0.0,0.0,-15.652173900000008,6.956521699999968,-10.43478260000002,0.0,21988.0
8701,0.0,0.0,0.0,5.217391300000003,0.0,0.0,-6.95652179999999,-5.2173912999999885,6.956521700000025,0.0,0.0,-10.434782599999977,6.956521699999968,-10.43478260000002,0.0,21990.0
8702,0.0,0.0,0.0,5.217391300000003,0.0,0.0,-6.95652179999999,-5.2173912999999885,0.0,0.0,-6.956521699999968,5.2173912999999885,0.0,-5.217391300000031,0.0,21992.0
8703,0.0,0.0,0.0,5.217391300000003,0.0,0.0,-6.95652179999999,-10.434782599999977,6.956521700000025,-5.217391300000031,0.0,-15.652173900000008,-6.956521700000025,15.652173899999966,0.0,21994.0
8704,0.0,0.0,0.0,5.217391300000003,0.0,0.0,-6.95652179999999,-5.2173912999999885,0.0,0.0,-6.956521699999968,-5.2173912999999885,-6.956521700000025,15.652173899999966,0.0,21996.0
8705,0.0,0.0,0.0,5.217391300000003,0.0,0.0,-6.95652179999999,-10.434782599999977,0.0,0.0,-6.956521699999968,-5.2173912999999885,-6.956521700000025,15.652173899999966,0.0,21998.0
8706,0.0,0.0,0.0,5.217391300000003,0.0,0.0,-6.95652179999999,-5.2173912999999885,0.0,0.0,-13.913043399999992,10.434782599999977,-6.956521700000025,10.434782599999977,0.0,22000.0
8707,0.0,0.0,0.0,5.217391300000003,0.0,0.0,-6.95652179999999,-5.2173912999999885,0.0,0.0,-13.913043399999992,5.2173912999999885,0.0,-5.2173912999999885,0.0,22002.0
8708,0.0,0.0,6.956521699999968,0.0,0.0,0.0,6.956521700000025,-5.2173912999999885,-6.956521700000025,-10.434782599999977,-6.956521700000025,10.434782599999977,-13.913043399999992,10.434782599999977,0.0,22004.0
8709,0.0,0.0,0.0,5.217391300000003,0.0,0.0,-6.95652179999999,-5.2173912999999885,-6.956521700000025,-5.2173912999999885,-13.913043499999986,-10.434782599999977,0.0,0.0,0.0,22006.0
8710,0.0,0.0,0.0,0.0,0.0,5.2173913099999965,-6.95652179999999,-5.2173912999999885,0.0,0.0,-20.869565199999954,5.2173912999999885,-6.956521699999968,0.0,0.0,22008.0
8711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2173912999999885,0.0,0.0,-13.913043399999992,10.434782599999977,0.0,0.0,0.0,22010.0
8712,-6.956521699999968,0.0,0.0,0.0,0.0,5.2173913099999965,-6.95652179999999,-5.2173912999999885,-6.956521700000025,-5.2173912999999885,-13.913043399999992,10.434782599999977,0.0,-10.434782599999977,0.0,22012.0
8713,-6.956521699999968,0.0,0.0,0.0,0.0,0.0,6.95652179999999,0.0,0.0,-5.2173912999999885,0.0,0.0,0.0,-10.434782599999977,0.0,22014.0
8714,-6.956521699999968,0.0,-6.956521700000025,0.0,0.0,5.2173913099999965,0.0,5.2173912999999885,-6.956521700000025,0.0,6.956521699999968,-5.2173912999999885,6.956521700000025,-10.434782599999977,0.0,22016.0
8715,-6.956521699999968,0.0,-6.956521700000025,0.0,0.0,5.2173913099999965,-6.95652179999999,-5.2173912999999885,-6.956521700000025,-5.2173912999999885,6.956521699999968,0.0,0.0,10.43478260000002,0.0,22018.0
8716,-6.956521699999968,0.0,-6.956521700000025,0.0,0.0,0.0,0.0,0.0,-6.956521700000025,-5.2173912999999885,6.956521699999968,5.2173912999999885,0.0,5.217391300000031,0.0,22020.0
8717,-13.913043399999992,0.0,-6.956521700000025,0.0,0.0,0.0,0.0,0.0,-6.956521700000025,-5.2173912999999885,6.956521699999968,10.434782599999977,6.956521699999968,5.2173912999999885,0.0,22022.0
8718,-13.913043399999992,0.0,-6.956521700000025,0.0,0.0,0.0,0.0,0.0,-6.956521700000025,0.0,6.956521699999968,5.2173912999999885,0.0,0.0,0.0,22024.0
8719,-13.913043399999992,0.0,-13.913043500000015,0.0,0.0,-5.2173913099999965,0.0,0.0,0.0,-5.2173912999999885,6.956521699999968,5.2173912999999885,0.0,5.2173912999999885,0.0,22026.0
8720,-20.869565199999982,0.0,-13.913043500000015,0.0,0.0,0.0,0.0,0.0,0.0,-5.2173912999999885,6.956521699999968,10.434782599999977,0.0,5.2173912999999885,0.0,22028.0
8721,-20.869565199999982,0.0,-20.86956520000004,0.0,0.0,5.2173913099999965,0.0,0.0,-6.956521700000025,-5.2173912999999885,0.0,10.434782599999977,0.0,10.43478260000002,0.0,22030.0
8722,-27.826086900000007,5.2173913099999965,-20.86956520000004,0.0,0.0,5.2173913099999965,0.0,0.0,-6.956521700000025,-5.2173912999999885,6.956521699999968,10.43478260000002,0.0,5.217391300000031,0.0,22032.0
8723,-27.826086900000007,5.2173913099999965,-20.86956520000004,0.0,0.0,5.2173913099999965,0.0,0.0,-6.956521700000025,-5.2173912999999885,0.0,15.652173900000008,0.0,5.217391300000031,0.0,22034.0
8724,-34.7826087,5.2173913099999965,-27.82608700000003,5.2173913099999965,0.0,5.2173913099999965,0.0,0.0,-6.956521700000025,-5.2173912999999885,0.0,10.43478260000002,0.0,5.217391300000031,0.0,22036.0
8725,-34.7826087,5.2173913099999965,-27.82608700000003,0.0,0.0,5.2173913099999965,-6.956521700000025,0.0,-13.913043500000015,-10.434782599999977,0.0,10.43478260000002,-6.956521699999968,5.217391300000031,0.0,22038.0
8726,-34.7826087,5.2173913099999965,-27.82608700000003,0.0,0.0,10.43478261,0.0,-5.2173912999999885,-13.913043500000015,-10.434782599999977,0.0,10.43478260000002,-6.956521699999968,10.43478260000002,0.0,22040.0
8727,-41.73913040000002,0.0,-34.782608700000054,0.0,0.0,5.2173913099999965,0.0,-5.2173912999999885,-6.956521700000025,-10.434782599999977,0.0,15.652173900000008,-6.956521699999968,10.43478260000002,0.0,22042.0
8728,-41.73913040000002,0.0,-41.73913040000002,-5.217391300000003,0.0,5.2173913099999965,-13.913043500000015,-5.2173912999999885,-6.95652179999999,-5.2173912999999885,-6.956521699999968,10.43478260000002,0.0,10.43478260000002,0.0,22044.0
8729,-41.73913040000002,0.0,-34.782608700000054,-5.217391300000003,0.0,5.2173913099999965,0.0,-10.434782599999991,-6.95652179999999,-10.434782599999977,6.956521800000019,15.652173900000008,-6.956521699999968,0.0,0.0,22046.0
8730,-48.69565209999999,-5.217391300000003,-34.782608700000054,-10.434782600000005,0.0,-5.2173913099999965,0.0,-10.434782599999991,-13.913043500000015,-20.86956519999997,13.913043499999986,5.2173912999999885,0.0,0.0,0.0,22048.0
8731,-48.69565209999999,-5.217391300000003,-34.782608700000054,-10.434782600000005,0.0,-5.2173913099999965,-6.95652179999999,-10.434782599999991,-13.913043500000015,-20.86956519999997,0.0,5.2173912999999885,-6.956521699999968,0.0,0.0,22050.0
8732,-41.73913040000002,-10.434782600000005,-41.73913040000002,-15.652173910000002,0.0,-10.43478261,0.0,-15.652173900000008,-13.913043500000015,-15.65217389999998,-6.956521800000019,0.0,-6.956521699999968,10.434782599999977,0.0,22052.0
8733,-41.73913040000002,-10.434782600000005,-41.73913040000002,-15.652173910000002,0.0,-10.43478261,-13.913043500000015,-15.652173900000008,-20.86956520000004,-15.65217389999998,-13.913043499999986,0.0,-6.956521699999968,15.652173900000008,0.0,22054.0
8734,-48.69565220000004,-15.652173910000002,-34.7826087,-15.652173910000002,0.0,-15.652173910000002,-13.913043500000015,-20.869565199999997,-13.913043500000015,-26.086956499999985,-13.913043499999986,0.0,-13.913043399999992,5.2173912999999885,0.0,22056.0
